,Unnamed: 0,Frame,Context,Verb,Example,Language,Field,Speakers,Translation
0,0,Модифицировать,"If you work hard, you can ___ your life for the better.",cambiar,No cambiará la vida en mejor. Это не изменит жизнь к лучшему,Spanish,менять,,
1,1,частичная смена объекта,It was obvious that something must be ___ in the legislation.,cambiar,"No hay planes de cambiar la legislación en ese sentido, al menos a corto plazo. Никаких изменений в законодательство в этой области, по крайней мере в краткосрочной перспективе, не планируется.              ",Spanish,менять,,
2,2,,The chef was angry with the cook because he ___ the recipe even though the dish turned out to be excellent.,cambiar,No puedo cambiar la receta proporcionadamente. Не могу изменить рецепт пропорционально,Spanish,менять,,
3,3,смена характера,She ___ so much after marriage.,cambiar,"Había cambiado tanto, ¿sabes? Она сильно изменилась, ты знаешь?",Spanish,менять,,
4,4,смена порядка (очерёдности),The manager ___ the order of the performances because one of the actors was late.,cambiar,Los jugadores pueden cambiar el orden de las cartas en sus manos. Игроки могут менять порядок карт в их руках,Spanish,менять,,
5,5,перемена ситуации (измениться),"We don't know what will happen in half a year: a lot can ___, and we'll be having other plans.",cambiar,"Bueno, mucho puede cambiar en un año, señorita. Хорошо, многое может измениться за год, сеньорита",Spanish,менять,,
6,6,Свойства/хар-р человека ,The city life ___ him.,cambiar,América lo ha cambiado. Vivir aquí lo ha cambiado. Америка его сильно изменила. Жизнь там его изменила,Spanish,менять,,
7,7,измениться (ветер),The wind ___ direction from west to east.,cambiar,"Deben llegar antes de que el viento cambie de dirección. Они должны были приехать перед тем, как ветер сменит направление",Spanish,менять,,
8,8,"природный процесс, неконтролируемо (цвет) (неодуш)",Leaves ___ color.,cambiar,Las hojas cambian de color en otoño. Листья меняют цвет зимой,Spanish,менять,,
9,9,"осознанно, контролируемо (цвет, стиль)",Did you ___ your hair? It really suits you.,cambiar,"Vaya, ¿te has cambiado el peinado? Ого, ты сменил прическу?",Spanish,менять,,
10,10,,"We ___ the color of the walls for a new one. We were tired of grey walls, so we decided to paint them milky-white.",cambiar,Ahora vamos a cambiar colores de un exterior. Мы помняли цвет экстерьера (стен дома),Spanish,менять,,
11,12,обладатель,The toy ___ its owner(s) several times.,cambiar,Después de la reconstrucción de la ciudadela varias veces cambió de dueño. После реконструкции цитадель несколько раз меняла владельцев,Spanish,менять,,
12,13,причина: нефункциональность (одежда),"She asked her son to ___ his shirt, but he refused to do it and kept the dirty one.",cambiar,"Me cambiaré de camisa, está pegajosa. Я поменяю рубашку, она липкая",Spanish,менять,,
13,14,причина: смена действия (один объект на объект другого класс),"She was sewing for a while, and then ___ the needle to a pencil and started writing.",cambiar,"Me di cuenta que por mi condición de mujer tenía que estar muy al quite si no quería que me cambiasen el lápiz por una escoba. Я поняла, что, поскольку я женщина, мне действительно придется следить за тем, не подменят ли они мой карандаш на метлу",Spanish,менять,,
14,15,причина замены (неисправность: другой объект того же класса),He ___ a burned-out lightbulb. ,cambiar,"Arregla las cosas que están rotas, cambia las lámparas que madas Почини те, которые сломаны, замени лампочки, которые перегорели",Spanish,менять,,
15,16,"причина замены (неактуальность, на лучшее: другой объект того же класса)","When his salary had been reduced again, he ___ his working place. / *According to statistics office workers ___ jobs more often than other people.
",cambiar,"En la nueva economía, muchos trabajadores cambian de trabajo varias veces o comienzan sus negocios propios o trabajan desde sus casas como contratistas. В новой экономике, многие работники меняют место работы много раз, или открывают свой собственный бизнес или работают из дома по контракту",Spanish,менять,,
